timestamp,open,high,low,close,volume
2022-01-21 07:00:00,78.6786,78.9061673,78.3077139,78.68861001,18178.6809113333
2022-01-21 08:00:00,78.6786,78.9061673,78.04188,78.67124999,84646.5864102587
2022-01-21 09:00:00,78.6786,78.86879,77.32338255,77.92000001,98734.6360877767
2022-01-21 10:00:00,77.86999999,78.30960001,76.92344999,77.80999999,78960.5198174888
2022-01-21 11:00:00,77.71,77.95000001,75.0208442,76.15,136784.0056249521
2022-01-21 12:00:00,75.74935,76.28,72.57,73.55348,275851.7831540261
2022-01-21 13:00:00,73.41651,74.91000001,72.2768,73.07685,216319.9019184146
2022-01-21 14:00:00,73.06686,74.35999999,71.16876,73.07685,272518.7684591058
2022-01-21 15:00:00,73.06686,74.25,71.16876,73.00000001,200766.1451369206
2022-01-21 16:00:00,73.01,74.25,71.16876,73.00000001,197682.3803750754
2022-01-21 17:00:00,73.01,73.22999999,71.0,71.35000001,210585.6025992713
2022-01-21 18:00:00,71.34999999,72.24999999,70.44,70.54000001,245545.9670996867
2022-01-21 19:00:00,70.51,71.18000001,68.92999999,69.04,225747.6283992322
2022-01-21 20:00:00,69.03999999,69.55,67.12,68.12000001,395529.4656024915
2022-01-21 21:00:00,68.03999999,68.61,62.04000001,64.8,758028.0227432488
2022-01-21 22:00:00,64.77,66.06,62.04000001,64.8,524114.0982553055
2022-01-21 23:00:00,64.66999999,65.52,62.07,64.8,401592.5168108581
2022-01-22 00:00:00,64.66999999,65.52,63.15,64.89,318020.6230373823
2022-01-22 01:00:00,64.66999999,65.84,64.02999999,65.31000001,204031.5845949074
2022-01-22 02:00:00,65.30999999,65.84,64.02999999,65.31000001,166907.9474049282
2022-01-22 03:00:00,65.30999999,65.84,63.63,64.49999999,211896.1508890453
2022-01-22 04:00:00,64.42,64.79999999,63.1368,63.60000001,116613.4644614785
2022-01-22 05:00:00,63.56,63.82,60.24000001,60.59000001,235854.4898835011
2022-01-22 06:00:00,60.6,61.52,57.75,59.24,422377.450071177
2022-01-22 07:00:00,59.24999999,59.48,55.74,57.48,434395.8025662308
2022-01-22 08:00:00,57.54000001,58.9,55.72422,57.48,342455.8588486716
2022-01-22 09:00:00,57.54000001,58.9,55.5,57.48,337283.766058759
2022-01-22 10:00:00,57.54000001,61.85,55.5,60.13,1075728.8242457164
2022-01-22 11:00:00,60.05000001,62.56,58.48999999,61.32999999,332100.0948110995
2022-01-22 12:00:00,61.31,64.29,60.0,63.44,388366.7588591607
2022-01-22 13:00:00,63.5,64.29,61.90000001,63.44,402134.7152233807
2022-01-22 14:00:00,63.5,63.98999999,61.90000001,61.95999999,239053.0497987577
2022-01-22 15:00:00,62.01999999,63.98999999,59.66,61.74,224997.8197478413
2022-01-22 16:00:00,61.68999999,63.24999999,59.66,61.74,414088.3100440557
2022-01-22 17:00:00,61.68999999,62.63999999,59.80000001,61.74,204747.6142794902
2022-01-22 18:00:00,61.68999999,62.63999999,60.08805,61.42999999,205745.8061927433
2022-01-22 19:00:00,61.36,63.01999999,60.08805,61.42999999,153768.4582414392
2022-01-22 20:00:00,61.36,64.77,60.87,63.83000001,315446.7913389852
2022-01-22 21:00:00,63.93,65.15999999,61.98,63.83000001,170816.2724598126
2022-01-22 22:00:00,63.93,65.15999999,61.98,62.83,156553.7739008231
2022-01-22 23:00:00,62.88999999,65.15999999,61.98,62.83,108978.6873992211
2022-01-23 00:00:00,62.88999999,67.29999999,62.8,66.15,418305.9812485519
2022-01-23 01:00:00,66.13,67.29999999,64.39,66.15,224585.1550879883
2022-01-23 02:00:00,66.13,66.16,64.39,65.94,180213.9220420275
2022-01-23 03:00:00,65.94,66.16,64.39,65.94,171835.830747558
2022-01-23 04:00:00,65.94,66.90999999,65.3,66.25,156062.6224102759
2022-01-23 05:00:00,66.18000001,68.21,65.33,67.77,184540.6009000708
2022-01-23 06:00:00,67.7,68.5,67.1,68.3,215490.6713268862
